[TPRdata]																
0.979748321	0.980426487	0.984322839	0.984061024													
0.974995619	0.970629041	0.976174501	0.971083985													
0.963621061	0.963112496	0.968767407	0.963982409													
0.949877114	0.949118189	0.95267764	0.946004426													
0.937732596	0.935294229	0.938715454	0.937634348													
0.925755004	0.924143455	0.928860081	0.92728078													
0.914429637	0.909216959	0.911579678	0.912889737													
0.896002647	0.895825385	0.895698624	0.894104093													
0.885502748	0.879450731	0.88545094	0.881677709													
0.865985217	0.866551566	0.869127569	0.863240816													
0.854352026	0.848447802	0.852774878	0.849853891													
0.839838111	0.835573029	0.839955365	0.834785126													
0.823940361	0.819175408	0.822538072	0.818642334													
0.810133149	0.806208718	0.809748733	0.803750464													
0.796646692	0.793275371	0.796847986	0.786465277													
0.782217406	0.774910207	0.7799539	0.771451495													
0.770716786	0.764969076	0.765762811	0.757978449													
0.754624486	0.754346253	0.751027486	0.74269692													
0.740519818	0.737000994	0.734541958	0.728491735													
0.728068474	0.723791763	0.723233017	0.717811534													
0.717497315	0.710567803	0.710542993	0.702127635													
0.703334875	0.698891249	0.697840115	0.687750629													
0.69021727	0.687881209	0.685393506	0.675750939													
0.678802981	0.676905989	0.674454694	0.660366368													
0.665942687	0.660970058	0.659806248	0.651167784													
0.655070218	0.651371251	0.651796233	0.638023014													
0.643699589	0.640359712	0.637190121	0.625354042													
0.634128675	0.627634581	0.625105929	0.613160221													
0.621838978	0.617469478	0.61514674	0.601395042													
0.611207938	0.606184525	0.604464982	0.591926908													
0.600842112	0.596624825	0.594715606	0.580003005													
0.591478488	0.585240916	0.582217997	0.566620104													
0.579049663	0.57651418	0.57390194	0.558602751													
0.570591607	0.563099456	0.561475285	0.545932129													
0.561230715	0.55414703	0.550520479	0.534307219													
0.550160481	0.542413286	0.539084579	0.523404782													
0.540650768	0.533619674	0.527783769	0.512489413													
0.530078837	0.522620807	0.51651697	0.500204017													
0.520019886	0.511889164	0.506343969	0.488145587													
0.509575673	0.499939606	0.493320384	0.476057712													
0.498085416	0.486260476	0.479759257	0.462894033													
0.482293732	0.471297265	0.465703189	0.446533648													
0.420416588	0.40485228	0.396450998	0.389510735													
0.10609289	0.114238073	0.123498726	0.141519573													
0.011762767	0.016889357	0.020790324	0.029761707													
0.005898474	0.009179887	0.012512375	0													
0.004387392	0.006886653	0.009636667	0													
[OARXLEAVESdata]																
3																
1																
2																
4																
4																
1.5																
5																
10																
20																
43																
0																
1																
2																
3																
4																
5																
6																
7																
8																
9																
10																
11																
12																
13																
14																
15																
16																
17																
18																
19																
20																
21																
22																
23																
24																
25																
26																
27																
28																
29																
30																
35																
40																
45																
50																
55																
60																
65																
70																
75																
80																
85																
90																
1	1	1	1													
0.984349402	0.950461718	0.981841883	0.975399387													
0.83891347	0.840146501	0.872847239	0.846429642													
0.671411495	0.645720628	0.690482821	0.662619486													
0.479618172	0.48498003	0.487806413	0.467575215													
0.312862699	0.304931235	0.308646997	0.294782507													
0.174753152	0.172383241	0.175220603	0.162315309													
0.090969499	0.094871223	0.097325124	0.09375926													
0.051271093	0.056907715	0.060014525	0.058237867													
0.031444782	0.03643981	0.039642264	0.037320401													
0.020325584	0.025198674	0.02778165	0.027846159													
