[TPRdata]																
0.025	0.044	0.069	0.086	0.097766275												
0.023	0.041	0.066	0.083	0.094271551												
0.022	0.039	0.063	0.079	0.092131328												
0.021	0.037	0.061	0.077	0.090112254												
0.02	0.035	0.058	0.074	0.088443366												
0.019	0.034	0.056	0.072	0.086448211												
0.018	0.032	0.054	0.07	0.084248891												
0.017	0.031	0.052	0.067	0.082418884												
0.017	0.029	0.05	0.066	0.080715834												
0.016	0.028	0.048	0.063	0.07828288												
0.016	0.027	0.047	0.062	0.076738277												
0.015	0.026	0.045	0.06	0.075101559												
0.014	0.025	0.044	0.058	0.073522543												
0.014	0.021	0.037	0.051	0.065263516												
0.013	0.018	0.032	0.045	0.058180161												
0.013	0.015	0.028	0.04	0.047753268												
0.012	0.013	0.025	0.036	0.042407523												
0.012	0.012	0.022	0.033	0.037834346												
0.011	0.01	0.019	0.031	0.033985757												
0.011	0.009	0.017	0.029	0.03051847												
0.01	0.008	0.015	0.025	0.027689906												
0.01	0.008	0.014	0.022	0.025099238												
0.009	0.007	0.013	0.019	0.022694377												
